Store_Name,Address,lat,lgt,center_latitude,center_longitude,NumPanels,YearlyEnergy,SolarArea
Barrett Parkway,"830 Ernest W Barrett Pkwy NW, Kennesaw, GA 30144",34.00706,-84.5739286,34.007070999999996,-84.573831,270,151739.06,530.1598
Bass Road,"1569 Bass Rd, Macon, GA 31210",32.9260433,-83.735365,32.9260594,-83.7353839,115,68290.7,225.8088
Beechwood,"196 Alps Rd, Athens, GA 30606",33.9449486,-83.4094121,33.944941299999996,-83.4093895,99,61284.605,194.39194
Berry College,"2277 Martha Berry Hwy NW, Mount Berry, GA 30149",34.28942,-85.1931705,34.2894442,-85.193426,212,117055.445,416.27362
Blairsville,"152 Highway 515 E, Blairsville, GA 30512",34.8765435,-83.9614514,34.8766898,-83.9617444,97,45829.23,190.46483
Bradley Park Drive,"1600 Bradley Park Dr, Columbus, GA 31904",32.5318413,-84.96810959999999,32.5318442,-84.96811009999999,69,41987.08,135.48529
Braselton,"2600 Old Winder Hwy, Braselton, GA 30517",34.1195756,-83.8263458,34.1199891,-83.8255416,221,137020,433.94562
Bremen,"89 US Highway 27 Byp, Bremen, GA 30110",33.6879026,-85.1502084,33.687695399999996,-85.15014529999999,234,131743.77,459.47183
Brookhaven,"4046 Peachtree Rd NE, Brookhaven, GA 30319",33.8610547,-84.3400518,33.8610587,-84.34002459999999,307,179668.05,602.81134
Brookstone,"1790 Mars Hill Rd NW, Acworth, GA 30101",33.9985763,-84.704453,33.9985838,-84.7044322,64,35980.78,125.66751
Brunswick (GA),"70 Golden Isles Plz, Brunswick, GA 31520",31.2115588,-81.49076319999999,31.211566500000004,-81.4907769,103,64431.09,202.24615
Buford,"1615 Buford Hwy, Buford, GA 30518",34.098467,-84.0104739,34.0987643,-84.0095607,123,70919.13,241.51724
Byron [GA],"402 GA Highway 49 N, Byron, GA 31008",32.6626674,-83.7390095,32.6624136,-83.7393941,68,42494.227,133.52173
Calhoun,"495 Highway 53 E, Calhoun, GA 30701",34.4749453,-84.92801,34.4749386,-84.9280141,88,53076.992,172.79283
